Curriculum,CONDENSED,,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
799823111,"LD Major Prep 4","","",,,,4,"",",HS25MU,HS25SI,HS25SN,HS25TH,HS25WA,HS25curriculum,HS26FI,HS26MU,HS26SI,HS26SN,HS26TH,HS26WA,HS26curriculum,HS27FI,HS27MU,HS27SI,HS27SN,HS27TH,HS27WA,HS27curriculum,HS28FI,HS28MU,HS28SI,HS28SN,HS28TH,HS28WA,HS28curriculum",
801432820,"BENG 186A","","","3538756461;2849150560",,,4,"",",BE25FI,BE25MU,BE25RE,BE25SI,BE25SN,BE25TH,BE25WA,BE25curriculum,BE27FI,BE27MU,BE27RE,BE27SI,BE27SN,BE27TH,BE27WA,BE27curriculum",
805487989,"ELECTIVE","","",,,,4,"",",BI30RE,BI31WA,BI32MU,BI32WA,BI34FI,BI35FI,BI37WA,CE25WA,CG25RE,CG29RE,CG31RE,CG33RE,CG34RE,CG35RE,CH34WA,CH35SI,CH36MU,CS25WA,CS27SI,CS27WA,DS25FI,EC26WA,ES27RE,GL25curriculum,HS25WA,HS26WA,IS26RE,IS34RE,IS34WA,JA25RE,MA30RE,MA35MU,MU27RE,NA25WA,PB26RE,PY30RE,SI29RE,US27RE,VA26RE,VA27RE,VA29RE",
806658460,"IE/RR2 - Interdisciplinary Elective/Regional Requirement","","",,,,4,"",",IS34FI,IS34MU,IS34RE,IS34SI,IS34SN,IS34TH,IS34WA,IS34curriculum,IS36FI,IS36MU,IS36RE,IS36SI,IS36SN,IS36TH,IS36WA,IS36curriculum",
806995149,"Anthropology UD elective course 2","","",,,,4,"",",AN28FI,AN28MU,AN28RE,AN28SI,AN28SN,AN28TH,AN28WA,AN28curriculum,AN29FI,AN29MU,AN29RE,AN29SI,AN29SN,AN29TH,AN29WA,AN29curriculum,AN30FI,AN30MU,AN30RE,AN30SI,AN30SN,AN30TH,AN30WA,AN30curriculum",
813544521,"UD LTGK/UD LTLA 4","","",,,,4,"",",CL25FI,CL25MU,CL25RE,CL25SI,CL25SN,CL25TH,CL25WA,CL25curriculum",
814041810,"LIGM 1CX","","","493600457;2061283451",,,2.5,"",",GS25FI,GS25FI,GS25MU,GS25MU,GS25RE,GS25RE,GS25SI,GS25SI,GS25SN,GS25SN,GS25TH,GS25TH,GS25WA,GS25WA,GS25curriculum,GS25curriculum",
817656046,"LIGN ELECTIVE FROM LIST 3","","",,,,4,"",",LN32FI,LN32MU,LN32RE,LN32SI,LN32SN,LN32TH,LN32WA,LN32curriculum",
817936747,"CBN CORE 2","","",,,,4,"",",PC34FI,PC34MU,PC34RE,PC34SI,PC34SN,PC34TH,PC34WA,PC34curriculum",
819977959,"PHIL 110","","",,,,4,"",",PL25FI,PL25FI,PL25MU,PL25MU,PL25RE,PL25RE,PL25SI,PL25SI,PL25SN,PL25SN,PL25TH,PL25TH,PL25WA,PL25WA,PL25curriculum,PL25curriculum",
822536061,"CHEM 41C","","","2539239181",,,4,"",",CH25FI,CH25MU,CH25RE,CH25SI,CH25SN,CH25TH,CH25WA,CH25curriculum,CH35FI,CH35MU,CH35RE,CH35SI,CH35SN,CH35TH,CH35WA,CH35curriculum,CH36FI,CH36FI,CH36FI,CH36MU,CH36MU,CH36MU,CH36RE,CH36RE,CH36RE,CH36SI,CH36SI,CH36SI,CH36SN,CH36SN,CH36SN,CH36TH,CH36TH,CH36TH,CH36WA,CH36WA,CH36WA,CH36curriculum,CH36curriculum,CH36curriculum,CH38FI,CH38MU,CH38RE,CH38SI,CH38SN,CH38TH,CH38WA,CH38curriculum",
824286927,"GE/MCWP 40","","",,,,4,"",",CG29MU,CG29MU,CL25MU,CL25MU,MA27MU,MA27MU,MA29MU,MA29MU,MA30MU,MA30MU,MA31MU,MA31MU,MA32MU,MA32MU,MA33MU,MA33MU,MA35MU,MA35MU,MC25MU,MC25MU,MC30MU,MC30MU,MC31MU,MC31MU,MC32MU,MC32MU,MC33MU,MC33MU,MC34MU,MC34MU,MU25MU,MU25MU,MU26MU,MU26MU,MU27MU,MU27MU,NA25MU,NA25MU,RE26MU,RE26MU",
826163150,"SIO 113","","","1266932230",,,4,"",",SI31FI,SI31MU,SI31RE,SI31SI,SI31SN,SI31TH,SI31WA,SI31curriculum",
828441689,"UD Global Health Elective 1","","",,,,4,"",",GH25FI,GH25MU,GH25RE,GH25SI,GH25SN,GH25TH,GH25WA,GH25curriculum,GH26FI,GH26MU,GH26RE,GH26SI,GH26SN,GH26TH,GH26WA,GH26curriculum",
829769999,"CHEM 152","","","822536061",,,4,"",",CH36FI,CH36MU,CH36RE,CH36SI,CH36SN,CH36TH,CH36WA,CH36curriculum",
831829264,"ECE 25","","",,,,4,"",",EC27FI,EC27FI,EC27MU,EC27MU,EC27RE,EC27RE,EC27SI,EC27SI,EC27SN,EC27SN,EC27TH,EC27TH,EC27WA,EC27WA,EC27curriculum,EC27curriculum,EC28FI,EC28FI,EC28MU,EC28MU,EC28RE,EC28RE,EC28SI,EC28SI,EC28SN,EC28SN,EC28TH,EC28TH,EC28WA,EC28WA,EC28curriculum,EC28curriculum,EC37FI,EC37FI,EC37MU,EC37MU,EC37RE,EC37RE,EC37SI,EC37SI,EC37SN,EC37SN,EC37TH,EC37TH,EC37WA,EC37WA,EC37curriculum,EC37curriculum",
832302492,"UD POLI 8","","",,,,4,"",",PS25FI,PS25MU,PS25RE,PS25SI,PS25SN,PS25TH,PS25WA,PS25curriculum",
833426395,"LISP 1B","","","1667124454;1486768956",,,2.5,"",",LA25FI,LA25FI,LA25FI,LA25MU,LA25MU,LA25MU,LA25RE,LA25RE,LA25RE,LA25SI,LA25SI,LA25SI,LA25SN,LA25SN,LA25SN,LA25TH,LA25TH,LA25TH,LA25WA,LA25WA,LA25WA,LA25curriculum,LA25curriculum,LA25curriculum,LA26FI,LA26FI,LA26FI,LA26MU,LA26MU,LA26MU,LA26RE,LA26RE,LA26RE,LA26SI,LA26SI,LA26SI,LA26SN,LA26SN,LA26SN,LA26TH,LA26TH,LA26TH,LA26WA,LA26WA,LA26WA,LA26curriculum,LA26curriculum,LA26curriculum,LA27FI,LA27FI,LA27FI,LA27MU,LA27MU,LA27MU,LA27RE,LA27RE,LA27RE,LA27SI,LA27SI,LA27SI,LA27SN,LA27SN,LA27SN,LA27TH,LA27TH,LA27TH,LA27WA,LA27WA,LA27WA,LA27curriculum,LA27curriculum,LA27curriculum,LT33FI,LT33FI,LT33FI,LT33MU,LT33MU,LT33MU,LT33RE,LT33RE,LT33RE,LT33SI,LT33SI,LT33SI,LT33SN,LT33SN,LT33SN,LT33TH,LT33TH,LT33TH,LT33WA,LT33WA,LT33WA,LT33curriculum,LT33curriculum,LT33curriculum",
836921343,"PHYS 175","","","3220946318;3589655752",,,4,"",",PY26FI,PY26MU,PY26RE,PY26SI,PY26SN,PY26TH,PY26WA,PY26curriculum",
837097934,"DF3 - LITERATURE","","",,,,4,"",",IS29FI,IS29MU,IS29RE,IS29SI,IS29SN,IS29TH,IS29WA,IS29curriculum",
837124728,"TDPR 6 2","","",,,,4,"",",TH26FI,TH26MU,TH26RE,TH26SI,TH26SN,TH26TH,TH26WA,TH26curriculum",
837325530,"HITO 100","","",,,,4,"",",HI25FI,HI25MU,HI25RE,HI25SI,HI25SN,HI25TH,HI25WA,HI25curriculum",
838072389,"DF7 - LITERATURE","","",,,,4,"",",IS29FI,IS29MU,IS29RE,IS29SI,IS29SN,IS29TH,IS29WA,IS29curriculum",
839478449,"UD Core Course 1","","",,,,4,"",",AA25FI,AA25MU,AA25RE,AA25SI,AA25SN,AA25TH,AA25WA,AA25curriculum",
843448464,"LIGN Elective 3","","",,,,4,"",",LN25FI,LN25MU,LN25RE,LN25SI,LN25SN,LN25TH,LN25WA,LN25curriculum",
846791153,"COMM 100B","","","2081550502",,,4,"",",CM26FI,CM26FI,CM26MU,CM26MU,CM26RE,CM26RE,CM26SI,CM26SI,CM26SN,CM26SN,CM26TH,CM26TH,CM26WA,CM26WA,CM26curriculum,CM26curriculum",
846920011,"COMM Intermediate/Advanced Elective 7","","",,,,4,"",",CM26FI,CM26MU,CM26RE,CM26SI,CM26SN,CM26TH,CM26WA,CM26curriculum",
849991895,"LD Language 2","","",,,,5,"",",LT34FI,LT34MU,LT34RE,LT34SI,LT34SN,LT34TH,LT34WA,LT34curriculum,LT36FI,LT36MU,LT36RE,LT36SI,LT36SN,LT36TH,LT36WA,LT36curriculum,LT41FI,LT41MU,LT41RE,LT41SI,LT41SN,LT41TH,LT41WA,LT41curriculum",
853190166,"PHIL 28/POLI 28","","","2515971978",,,4,"",",PC34WA",
853721096,"LD LIT SEQUENCE 2","","",,,,4,"",",LT41FI,LT41MU,LT41RE,LT41SI,LT41SN,LT41TH,LT41WA,LT41curriculum",
855910943,"Lower Division Core 2","","",,,,4,"",",GH26FI,GH26MU,GH26RE,GH26SI,GH26SN,GH26TH,GH26WA,GH26curriculum",
856589250,"ECON 120B","","","1209813557",,,4,"",",EN25FI,EN25FI,EN25MU,EN25MU,EN25RE,EN25RE,EN25SI,EN25SI,EN25SN,EN25SN,EN25TH,EN25TH,EN25WA,EN25WA,EN25curriculum,EN25curriculum,EN30FI,EN30FI,EN30MU,EN30MU,EN30RE,EN30RE,EN30SI,EN30SI,EN30SN,EN30SN,EN30TH,EN30TH,EN30WA,EN30WA,EN30curriculum,EN30curriculum",
858008681,"MUIR UD Elective","","",,,,4,"",",CH38MU,ES26MU,ES27MU,IS25MU,MA30MU,MA31MU,MA35MU,PC26MU,PC28MU,PC29MU,PC30MU,PC31MU,PC32MU,PC33MU,PY26MU,PY28MU,PY29MU,PY34MU,VA30MU",
858063686,"HDS Development Course 4","","",,,,4,"",",HS25FI,HS25MU,HS25RE,HS25SI,HS25SN,HS25TH,HS25WA,HS25curriculum,HS26FI,HS26MU,HS26RE,HS26SI,HS26SN,HS26TH,HS26WA,HS26curriculum",
860308748,"DF2 - POLI SCI","","",,,,4,"",",IS30FI,IS30MU,IS30RE,IS30SI,IS30SN,IS30TH,IS30WA,IS30curriculum",
863741408,"UD LTSP - PRE-1900","","",,,,4.0,"",",LT33FI,LT33MU,LT33RE,LT33SI,LT33SN,LT33TH,LT33WA,LT33curriculum",
865583461,"NANO 4","","",,,,1,"",",NA25FI,NA25FI,NA25FI,NA25MU,NA25MU,NA25MU,NA25RE,NA25RE,NA25RE,NA25SI,NA25SI,NA25SI,NA25SN,NA25SN,NA25SN,NA25TH,NA25TH,NA25TH,NA25WA,NA25WA,NA25WA,NA25curriculum,NA25curriculum,NA25curriculum",
868429983,"ECE 102","","","4119337294;4038657096",,,4,"",",EC27FI,EC27FI,EC27FI,EC27FI,EC27MU,EC27MU,EC27MU,EC27MU,EC27RE,EC27RE,EC27RE,EC27RE,EC27SI,EC27SI,EC27SI,EC27SI,EC27SN,EC27SN,EC27SN,EC27SN,EC27TH,EC27TH,EC27TH,EC27TH,EC27WA,EC27WA,EC27WA,EC27WA,EC27curriculum,EC27curriculum,EC27curriculum,EC27curriculum,EC28FI,EC28MU,EC28RE,EC28SI,EC28SN,EC28TH,EC28WA,EC28curriculum,EC37FI,EC37MU,EC37RE,EC37SI,EC37SN,EC37TH,EC37WA,EC37curriculum",
868654525,"USP 186","","","3429469570",,,6,"",",US26FI,US26FI,US26MU,US26MU,US26RE,US26RE,US26SN,US26SN,US26TH,US26TH,US26WA,US26WA,US26curriculum,US26curriculum",
870057600,"Technical Elective 4","","",,,,4,"",",EC37FI,EC37MU,EC37RE,EC37SI,EC37SN,EC37TH,EC37WA,EC37curriculum",
870251225,"USP 143","","",,,,4,"",",PB25FI,PB25MU,PB25RE,PB25SI,PB25SN,PB25TH,PB25WA,PB25curriculum,PB26FI,PB26MU,PB26RE,PB26SI,PB26SN,PB26TH,PB26WA,PB26curriculum,PB27FI,PB27MU,PB27RE,PB27SI,PB27SN,PB27TH,PB27WA,PB27curriculum,PB28FI,PB28MU,PB28RE,PB28SI,PB28SN,PB28TH,PB28WA,PB28curriculum,PB29FI,PB29MU,PB29RE,PB29SI,PB29SN,PB29TH,PB29WA,PB29curriculum,PB30FI,PB30MU,PB30RE,PB30SI,PB30SN,PB30TH,PB30WA,PB30curriculum,PB31FI,PB31MU,PB31RE,PB31SI,PB31SN,PB31TH,PB31WA,PB31curriculum",
872726624,"AHI/ELECTIVE 2","","",,,,4,"",",GH25RE",
872858041,"LD Intro Course 2","","",,,,4,"",",GH25FI,GH25MU,GH25RE,GH25SI,GH25SN,GH25TH,GH25WA,GH25curriculum",
875179797,"ETHN 1","","",,,,4,"",",ET25FI,ET25FI,ET25MU,ET25MU,ET25RE,ET25RE,ET25SI,ET25SI,ET25SN,ET25SN,ET25TH,ET25TH,ET25WA,ET25WA,ET25curriculum,ET25curriculum",
876973778,"MUS 43 9","","",,,,1,"",",MU25FI,MU25MU,MU25RE,MU25SI,MU25SN,MU25TH,MU25WA,MU25curriculum,MU26FI,MU26MU,MU26RE,MU26SI,MU26SN,MU26TH,MU26WA,MU26curriculum",
887026499,"PHYS 124","","","495607674",,,4,"",",PY32MU",
887269838,"DEPTH #4","","",,,,4,"",",EC37FI,EC37MU,EC37RE,EC37SI,EC37SN,EC37TH,EC37WA,EC37curriculum",
891290498,"UD BIO LAB","","",,,,4,"",",BI30FI,BI30MU,BI30RE,BI30SI,BI30SN,BI30TH,BI30WA,BI30curriculum,BI32FI,BI32MU,BI32RE,BI32SI,BI32SN,BI32TH,BI32WA,BI32curriculum,BI37FI,BI37MU,BI37RE,BI37SI,BI37SN,BI37TH,BI37WA,BI37curriculum,BI38FI,BI38MU,BI38RE,BI38SI,BI38SN,BI38TH,BI38WA,BI38curriculum",
891461334,"Intermediate Media Practice 2","","",,,,4,"",",VA27FI,VA27MU,VA27RE,VA27SI,VA27SN,VA27TH,VA27WA,VA27curriculum",
900812859,"ELECTIVE 3","","",,,,4,"",",AA25MU,AA25RE,AA25TH,AN26FI,AN26MU,AN26RE,AN26SI,AN26TH,AN26WA,AN27FI,AN27MU,AN27RE,AN27SI,AN27TH,AN27WA,AN28FI,AN28MU,AN28RE,AN28SI,AN28TH,AN28WA,AN29FI,AN29MU,AN29RE,AN29TH,AN29WA,AN30FI,AN30MU,AN30RE,AN30TH,AN30WA,BI30FI,BI30MU,BI30SI,BI30TH,BI30WA,BI31SI,BI31TH,BI32SI,BI32TH,BI34TH,BI35TH,BI37SI,BI37TH,BI38TH,CG25FI,CG25MU,CG25SI,CG25TH,CG25WA,CG29FI,CG29MU,CG29SI,CG29TH,CG29WA,CG31FI,CG31MU,CG31SI,CG31TH,CG31WA,CG32FI,CG32MU,CG32RE,CG32SI,CG32TH,CG32WA,CG33FI,CG33MU,CG33SI,CG33TH,CG33WA,CG34FI,CG34MU,CG34SI,CG34TH,CG34WA,CG35FI,CG35MU,CG35SI,CG35TH,CG35WA,CH25MU,CH25SI,CH25TH,CH34FI,CH34SI,CH34TH,CH35TH,CH36TH,CH38TH,CL25FI,CL25MU,CL25RE,CL25SI,CL25TH,CL25WA,CM26FI,CM26MU,CM26RE,CM26SI,CM26TH,CM26WA,CN25FI,CN25MU,CN25RE,CN25SI,CN25TH,CN25WA,CR25FI,CR25MU,CR25RE,CR25SI,CR25TH,CR25WA,CS26SI,CS26WA,DS25MU,DS25SI,DS25TH,ED25FI,ED25MU,ED25RE,ED25SI,ED25TH,ED25WA,EN25FI,EN25MU,EN25RE,EN25SI,EN25TH,EN25WA,EN28FI,EN28MU,EN28RE,EN28SI,EN28TH,EN28WA,EN30FI,EN30MU,EN30SI,EN30TH,EN30WA,ES25MU,ES25RE,ES25SI,ES25TH,ES26MU,ES26RE,ES26SI,ES26TH,ES26WA,ES27SI,ES27TH,ES28MU,ES28RE,ES28SI,ES28TH,ES28WA,ET25FI,ET25MU,ET25RE,ET25SI,ET25TH,ET25WA,GH25FI,GH25MU,GH25RE,GH25SI,GH25TH,GH25WA,GH26FI,GH26SI,GH26TH,GH26WA,GL25FI,GL25MU,GL25RE,GL25SI,GL25TH,GL25WA,GS25FI,GS25MU,GS25RE,GS25SI,GS25TH,GS25WA,HI25FI,HI25MU,HI25RE,HI25SI,HI25TH,HI25WA,HS25FI,HS25MU,HS25RE,HS25SI,HS25TH,HS26FI,HS26MU,HS26RE,HS26SI,HS26TH,HS27FI,HS27MU,HS27RE,HS27SI,HS27TH,HS27WA,HS28FI,HS28MU,HS28RE,HS28SI,HS28TH,HS28WA,IS25FI,IS25MU,IS25RE,IS25SI,IS25TH,IS25WA,IS26FI,IS26MU,IS26SI,IS27FI,IS27MU,IS27RE,IS27SI,IS27TH,IS27WA,IS28FI,IS28MU,IS28SI,IS28TH,IS28WA,IS29FI,IS29MU,IS29SI,IS29TH,IS29WA,IS30FI,IS30MU,IS30SI,IS30TH,IS30WA,IS31FI,IS31MU,IS31SI,IS31TH,IS31WA,IS34FI,IS34MU,IS34SI,IS34TH,IS36FI,IS36MU,IS36SI,IS36TH,IS36WA,IT25FI,IT25MU,IT25RE,IT25SI,IT25TH,IT25WA,JA25FI,JA25MU,JA25SI,JA25TH,JA25WA,JS25FI,JS25MU,JS25RE,JS25SI,JS25TH,JS25WA,LA25FI,LA25MU,LA25RE,LA25SI,LA25TH,LA25WA,LA26FI,LA26MU,LA26RE,LA26SI,LA26TH,LA26WA,LA27FI,LA27MU,LA27RE,LA27SI,LA27TH,LA27WA,LN25FI,LN25MU,LN25RE,LN25SI,LN25TH,LN25WA,LN29FI,LN29MU,LN29RE,LN29SI,LN29TH,LN29WA,LN32FI,LN32MU,LN32RE,LN32SI,LN32TH,LN32WA,LN33FI,LN33MU,LN33RE,LN33SI,LN33TH,LN33WA,LN34FI,LN34MU,LN34RE,LN34SI,LN34TH,LN34WA,LT33FI,LT33RE,LT33SI,LT33TH,LT33WA,LT34FI,LT34SI,LT34TH,LT36FI,LT36SI,LT36TH,LT41FI,LT41SI,LT41TH,LT41WA,MA27FI,MA27RE,MA27SI,MA27TH,MA27WA,MA29FI,MA29RE,MA29SI,MA29TH,MA29WA,MA30FI,MA30SI,MA30TH,MA30WA,MA31FI,MA31RE,MA31SI,MA31TH,MA31WA,MA32FI,MA32RE,MA32SI,MA32TH,MA32WA,MA33FI,MA33RE,MA33SI,MA33TH,MA33WA,MA35FI,MA35RE,MA35SI,MA35TH,MA35WA,MU25FI,MU25SI,MU25TH,MU25WA,MU26FI,MU26SI,MU26TH,MU26WA,MU27FI,MU27SI,MU27TH,MU27WA,PB25MU,PB25RE,PB25TH,PB25WA,PB26TH,PB26WA,PB27MU,PB27TH,PB27WA,PB28MU,PB28RE,PB28TH,PB28WA,PB29MU,PB29RE,PB29SI,PB29TH,PB29WA,PB30MU,PB30RE,PB30SI,PB30TH,PB30WA,PB31MU,PB31RE,PB31SI,PB31TH,PC25FI,PC25MU,PC25RE,PC25SI,PC25TH,PC25WA,PC26FI,PC26MU,PC26RE,PC26SI,PC26TH,PC26WA,PC28FI,PC28MU,PC28RE,PC28SI,PC28TH,PC28WA,PC29FI,PC29MU,PC29RE,PC29SI,PC29TH,PC29WA,PC30FI,PC30MU,PC30RE,PC30SI,PC30TH,PC30WA,PC31FI,PC31MU,PC31RE,PC31SI,PC31TH,PC31WA,PC32FI,PC32MU,PC32RE,PC32SI,PC32TH,PC32WA,PC33FI,PC33MU,PC33RE,PC33SI,PC33TH,PC33WA,PC34FI,PC34MU,PC34RE,PC34SI,PC34TH,PC34WA,PC35FI,PC35MU,PC35RE,PC35SI,PC35TH,PC35WA,PL25FI,PL25RE,PL25SI,PL25TH,PL25WA,PS25FI,PS25MU,PS25RE,PS25SI,PS25TH,PS25WA,PS26FI,PS26MU,PS26RE,PS26SI,PS26TH,PS26WA,PS27FI,PS27MU,PS27RE,PS27SI,PS27TH,PS27WA,PS28FI,PS28MU,PS28RE,PS28SI,PS28TH,PS28WA,PS29FI,PS29MU,PS29RE,PS29SI,PS29TH,PS29WA,PS30FI,PS30MU,PS30RE,PS30SI,PS30TH,PS30WA,PS31FI,PS31RE,PS31SI,PS31TH,PS31WA,PS32FI,PS32RE,PS32SI,PS32TH,PS32WA,PS34FI,PS34RE,PS34SI,PS34TH,PS34WA,PY28SI,PY28TH,PY29SI,PY29TH,PY30MU,PY30SI,PY30TH,PY31MU,PY31SI,PY31TH,PY32SI,PY32TH,PY33MU,PY33SI,PY33TH,PY34MU,PY34SI,PY34TH,RE26FI,RE26MU,RE26RE,RE26SI,RE26TH,RE26WA,RU26FI,RU26RE,RU26SI,RU26TH,RU26WA,SI29MU,SI29SI,SI29TH,SI30MU,SI30SI,SI30TH,SI31MU,SI31SI,SI31TH,SI31WA,SO25FI,SO25MU,SO25RE,SO25SI,SO25TH,SO25WA,SO27FI,SO27MU,SO27RE,SO27SI,SO27TH,SO27WA,SO28FI,SO28MU,SO28RE,SO28SI,SO28TH,SO28WA,SO29FI,SO29MU,SO29RE,SO29SI,SO29TH,SO29WA,SO30FI,SO30MU,SO30RE,SO30SI,SO30TH,SO30WA,SO31FI,SO31MU,SO31RE,SO31SI,SO31TH,SO31WA,SO32FI,SO32MU,SO32RE,SO32SI,SO32TH,SO32WA,SO33FI,SO33MU,SO33RE,SO33SI,SO33TH,SO33WA,TH26FI,TH26MU,TH26SI,TH26TH,TH26WA,TH27FI,TH27MU,TH27SI,TH27TH,TH27WA,UN27RE,UNHARE,UNPSRE,UNSSRE,US26FI,US26MU,US26RE,US26SI,US26TH,US26WA,US27FI,US27MU,US27SI,US27TH,US27WA,VA26FI,VA26MU,VA26SI,VA26TH,VA26WA,VA27FI,VA27MU,VA27SI,VA27TH,VA27WA,VA28FI,VA28MU,VA28SI,VA28TH,VA28WA,VA29FI,VA29MU,VA29SI,VA29TH,VA29WA,VA30FI,VA30MU,VA30SI,VA30TH,VA30WA",
901096118,"HDS Development Course 2","","",,,,4,"",",HS25FI,HS25MU,HS25RE,HS25SI,HS25SN,HS25TH,HS25WA,HS25curriculum,HS26FI,HS26MU,HS26RE,HS26SI,HS26SN,HS26TH,HS26WA,HS26curriculum,HS27FI,HS27MU,HS27RE,HS27SI,HS27SN,HS27TH,HS27WA,HS27curriculum,HS28FI,HS28MU,HS28RE,HS28SI,HS28SN,HS28TH,HS28WA,HS28curriculum",
904139115,"ESYS 102","","","213743646;375016303;3312220726;598946973;3727501086",,,4,"",",ES25FI,ES25MU,ES25RE,ES25SI,ES25SN,ES25TH,ES25WA,ES25curriculum,ES26FI,ES26MU,ES26RE,ES26SI,ES26SN,ES26TH,ES26WA,ES26curriculum,ES27FI,ES27MU,ES27RE,ES27SI,ES27SN,ES27TH,ES27WA,ES27curriculum,ES28FI,ES28MU,ES28RE,ES28SI,ES28SN,ES28TH,ES28WA,ES28curriculum",
904628063,"UD MAJOR ELECTIVE 8","","",,,,4,"",",SI30FI,SI30MU,SI30RE,SI30SI,SI30SN,SI30TH,SI30WA,SI30curriculum",
906276450,"JAPN 10C","","","2948810321",,,5,"",",JA25FI,JA25FI,JA25MU,JA25MU,JA25RE,JA25RE,JA25SI,JA25SI,JA25SN,JA25SN,JA25TH,JA25TH,JA25WA,JA25WA,JA25curriculum,JA25curriculum",
907303516,"MUS 43 4","","",,,,1,"",",MU25FI,MU25MU,MU25RE,MU25SI,MU25SN,MU25TH,MU25WA,MU25curriculum,MU26FI,MU26MU,MU26RE,MU26SI,MU26SN,MU26TH,MU26WA,MU26curriculum,MU27FI,MU27MU,MU27RE,MU27SI,MU27SN,MU27TH,MU27WA,MU27curriculum",
909446245,"USP Research Methods","","",,,,4,"",",US26FI,US26MU,US26RE,US26SI,US26SN,US26TH,US26WA,US26curriculum",
910711466,"UD Political Theory","","",,,,4,"",",PS29FI,PS29MU,PS29RE,PS29SI,PS29SN,PS29TH,PS29WA,PS29curriculum",
911596594,"JAPN 190","","",,,,4,"",",JA25FI,JA25MU,JA25RE,JA25SI,JA25SN,JA25TH,JA25WA,JA25curriculum",
912915513,"DF7 - POLI SCI","","",,,,4,"",",IS30FI,IS30MU,IS30RE,IS30SI,IS30SN,IS30TH,IS30WA,IS30curriculum",
918961129,"UD Survey Course: 1648 to present","","",,,,4,"",",JS25FI,JS25MU,JS25RE,JS25SI,JS25SN,JS25TH,JS25WA,JS25curriculum",
920036820,"PHIL 10","","",,,,4,"",",IS36FI,IS36MU,IS36RE,IS36SI,IS36SN,IS36TH,IS36WA,IS36curriculum,PL25FI,PL25FI,PL25MU,PL25MU,PL25RE,PL25RE,PL25SI,PL25SI,PL25SN,PL25SN,PL25TH,PL25TH,PL25WA,PL25WA,PL25curriculum,PL25curriculum",
923842579,"CHINESE STUDIES UD ELECTIVE 5","","",,,,4,"",",CN25FI,CN25MU,CN25RE,CN25SI,CN25SN,CN25TH,CN25WA,CN25curriculum",
